"Date","Category","Net worth","Assets","Real estate","Consumer durables","Corporate equities and mutual fund shares","Pension entitlements","Private businesses","Other assets","Liabilities","Home mortgages","Consumer credit","Other liabilities"
"2002:Q2","NoHS",2228116,2569300,969090,224911,178783,593126,193604,409786,341184,227480,109679,4025
"2002:Q3","College",26101146,30344050,8679117,1694884,4534438,6171102,3529122,5735388,4242904,3198021,834450,210434
"2002:Q3","SomeCollege",7313554,9117456,3052000,751444,715104,2108148,911853,1578907,1803902,1277626,484947,41328
"2002:Q3","HS",7177227,8852242,3016418,831479,525406,2246177,787475,1445288,1675015,1123958,530147,20910
"2002:Q3","NoHS",2234688,2575520,1000224,212961,137959,594440,212964,416971,340831,234013,102064,4754
"2002:Q4","College",26837472,31214413,8900082,1719945,4851648,6271983,3590931,5879824,4376941,3314704,855667,206570
"2002:Q4","SomeCollege",7540632,9414229,3126106,755441,767322,2233423,961625,1570312,1873597,1335280,501002,37315
"2002:Q4","HS",7372853,9068238,3057578,832456,551123,2320549,791758,1514774,1695385,1140594,534350,20441
"2002:Q4","NoHS",2265362,2616467,1034845,218363,148500,553304,209298,452157,351105,240549,105989,4567
"2003:Q1","College",27054594,31551931,9195013,1736500,4585005,6382486,3722264,5930663,4497338,3423554,857970,215813
"2003:Q1","SomeCollege",7526798,9425955,3183388,764358,711488,2202494,984591,1579635,1899157,1360799,498485,39873
"2003:Q1","HS",7316182,9049337,3072332,834877,499208,2315234,803771,1523916,1733155,1182199,530017,20938
"2003:Q1","NoHS",2285169,2631538,1046876,213858,131996,568327,216722,453759,346368,238780,102650,4938
"2003:Q2","College",28398811,33119198,9475279,1761192,5476103,6561866,3853230,5991527,4720387,3576025,872369,271992
"2003:Q2","SomeCollege",7896853,9908378,3248662,770150,840473,2385936,1018913,1644243,2011525,1419020,518080,74425
"2003:Q2","HS",7428576,9197274,3097545,831765,573102,2377604,778751,1538506,1768698,1223644,523042,22012
"2003:Q2","NoHS",2296349,2655610,1073941,222987,152204,547594,202345,456540,359261,245573,108439,5250
"2003:Q3","College",29030067,33901835,9713240,1790653,5811998,6656097,3948730,5981117,4871768,3726390,890342,255036
"2003:Q3","SomeCollege",8027623,10114660,3335812,775969,889983,2432934,1058820,1621141,2087037,1494000,529060,63977
"2003:Q3","HS",7537374,9318212,3144128,838936,589635,2411768,785996,1547749,1780838,1228633,530411,21793
"2003:Q3","NoHS",2334639,2708233,1115248,225314,157618,539671,203544,466838,373594,259628,109862,4104
"2003:Q4","College",30409409,35416339,9933165,1820092,6613264,6827656,4065371,6156791,5006930,3840085,908441,258404
"2003:Q4","SomeCollege",8454493,10600259,3469150,782144,1006540,2609636,1098125,1634663,2145766,1548097,549042,48626
"2003:Q4","HS",7746128,9566807,3212786,840853,650137,2485265,765192,1612574,1820679,1263217,529976,27486
"2003:Q4","NoHS",2346898,2733849,1131414,234577,174321,505737,190429,497371,386951,264543,115473,6935
"2004:Q1","College",32078505,37199745,10417588,1853872,6916471,6998702,4208286,6804827,5121240,3944151,908263,268826
"2004:Q1","SomeCollege",8878187,11072329,3574228,794980,1045458,2666877,1147501,1843285,2194143,1588006,551098,55038
"2004:Q1","HS",7969645,9810921,3263747,852175,659755,2539188,780799,1715257,1841276,1290611,522759,27906
"2004:Q1","NoHS",2403020,2791477,1188241,236731,175596,479310,195214,516384,388457,268232,114353,5872
"2004:Q2","College",32468114,37762083,10730887,1887904,6837970,7138114,4430635,6736574,5293969,4097322,917187,279460
"2004:Q2","SomeCollege",9026983,11323167,3719542,801148,1026369,2719757,1234946,1821404,2296185,1676907,557992,61286
"2004:Q2","HS",8143474,9997984,3351676,865747,634145,2596848,824858,1724711,1854510,1301218,524667,28625
"2004:Q2","NoHS",2441848,2846967,1247400,240312,166281,447215,209260,536499,405119,285965,114694,4460
"2004:Q3","College",33384392,38817263,11141152,1906029,6845541,7336154,4693181,6895208,5432871,4230454,939356,263061
"2004:Q3","SomeCollege",9190610,11538023,3915028,809303,1000558,2709309,1291461,1812364,2347413,1723136,567675,56602
"2004:Q3","HS",8228553,10160227,3453091,874427,610405,2625113,859899,1737293,1931674,1362616,542657,26401
"2004:Q3","NoHS",2446774,2853042,1263806,238078,151885,422469,224765,552039,406268,290420,115187,662
"2004:Q4","College",35302270,40909568,11562223,1931038,7551872,7654518,4957154,7252763,5607298,4351274,959385,296639
"2004:Q4","SomeCollege",9418559,11865034,4032498,828660,1089342,2867312,1278255,1768968,2446475,1787401,586215,72859
"2004:Q4","HS",8518232,10513182,3588616,889653,680635,2676048,881603,1796627,1994950,1415031,553209,26710
"2004:Q4","NoHS",2431691,2862997,1306607,248821,156717,385212,223844,541797,431306,306457,121311,3538
"2005:Q1","College",36036715,41716933,11976373,1946943,7560746,7809941,5122678,7300251,5680218,4432777,954218,293222
"2005:Q1","SomeCollege",9536649,12009570,4153175,849709,1078687,2831849,1249909,1846241,2472921,1827741,579788,65393
